#Frame      Dih_00001    Dih_00002
     775     163.9341    -171.8422
     776     153.0647     179.1561
     777     153.6988    -152.3173
     778     173.6826    -156.9439
     779     157.4749     178.9865
     780     164.3902    -155.7496
     781     155.6043    -172.9955
     782     165.9475    -163.4315
     783     165.4071     178.2928
     784     168.6415    -163.2696
     785     158.6953    -166.8039
     786     161.7050    -168.4455
     787     168.5481    -173.7100
     788     159.0976     176.0296
     789     168.4662    -169.0130
     790     153.5191    -153.3238
     791     159.7439    -179.7964
     792     176.3434    -161.3273
     793     147.4469    -171.5088
     794     169.4003    -147.3569
     795     157.1575    -141.2806
     796     168.8879    -167.0877
     797     154.3642    -173.6057
     798     153.0341    -162.6076
     799     173.1844    -151.0183
     800     161.7471    -157.1810
     801     170.6939    -179.1308
     802     158.1709    -176.3401
     803     158.8499    -177.2045
     804     165.5838    -167.4627
     805     159.6800    -161.7962
     806     156.4630    -172.4096
     807     156.7952    -170.2673
     808     154.4343    -153.7819
     809     152.2192    -171.2534
     810     160.0550    -156.6876
     811     160.6135     163.2866
     812     175.1426    -142.4437
     813     161.5820    -165.4417
     814     165.7635    -170.4508
     815     165.5940    -171.9857
     816     172.7503    -150.6065
     817    -159.5928    -130.2153
     818     170.5209    -166.0132
     819     170.2725    -168.4286
     820     149.3607    -170.8295
     821     165.0671     178.1902
     822     164.4700    -164.8305
     823     162.4680     -79.0310
     824     147.6428    -165.8931
     825     158.8073    -171.1285
     826     165.7916    -179.8019
     827     171.9740    -162.2110
     828     169.8487    -153.7820
     829     145.6684    -172.6510
     830     164.8343    -173.4297
     831     174.0260    -144.5180
     832     161.2927    -171.7396
     833     135.3180    -176.8784
     834    -169.2392    -120.8885
     835     159.1996    -146.1782
     836     172.3450    -152.0585
     837     151.2897    -169.4007
     838     168.2223    -150.9780
     839     166.2538    -162.0211
     840     163.8766    -175.8900
     841     170.0644    -168.2272
     842     154.7925    -166.5018
     843     167.5729    -158.5346
     844     176.5805    -146.6528
     845     157.0314    -136.6344
     846     161.4589     161.6343
     847     172.3854    -145.1790
     848     162.2788     169.4606
     849    -178.6069    -166.9284
     850    -176.1954    -133.0160
     851     153.7987    -164.8233
     852     157.5262    -167.9536
     853     176.8841    -157.6997
     854     147.1179     176.9521
     855     147.3356    -156.5678
     856     175.7421    -159.7585
     857     166.0076    -161.9261
     858     156.4219     174.7364
     859     154.3859    -172.9357
     860     173.1089    -166.5530
     861     171.6491    -168.3816
     862     158.4250    -177.3277
     863     166.4726    -157.2415
     864     145.4247    -156.8355
     865    -153.9836     -34.0473
     866     160.9152    -156.1043
     867     166.4340    -140.7254
     868     161.6840    -144.8693
     869     176.3671    -144.5974
     870     159.1979    -150.4064
     871     149.9719    -173.0238
     872     155.2399     179.1016
     873     148.9998    -141.5444
     874     172.7611    -163.1448
     875     155.1754     178.1326
     876     155.2513    -156.5799
     877     161.6595    -133.2132
     878     153.6833     171.7620
     879     169.5925    -172.7748
     880     161.3484    -104.3984
     881     167.6847    -155.2311
     882     168.0036    -173.9878
     883    -168.0426    -134.4535
     884     168.7362    -139.1784
     885     158.2129    -156.4505
     886     163.6462    -160.5468
     887     176.0311    -160.9088
     888     160.9051    -161.8526
     889     151.8838    -165.9532
     890     158.0822    -155.3929
     891     164.1235    -172.4129
     892     160.4048     175.4146
     893     161.1196    -143.3930
     894     152.7206    -177.3781
     895     159.2022    -174.2970
     896     169.0370    -143.8108
     897     159.6522     177.8588
     898     156.9362    -170.6187
     899    -177.7769    -162.6152
     900     159.1433    -161.4258
     901     170.7035    -163.7722
     902     176.4761    -129.8171
     903     154.4978     170.2097
     904     177.4154    -165.9692
     905     177.6169    -177.5395
     906     149.3620    -179.4459
     907    -173.1735    -157.4046
     908     160.6715    -176.1046
     909     142.5916     179.6434
     910     155.1497    -179.9545
     911     166.4904    -163.9330
     912     158.2405    -165.7502
     913     148.1033    -165.3213
     914     156.6322    -163.4774
     915     160.9059    -179.1582
     916    -166.2558    -155.0360
     917     176.5633    -159.5045
     918     163.3468    -156.5835
     919    -172.3795    -159.2178
     920     161.4785    -179.9312
     921     153.2533    -178.2474
     922    -167.7860    -112.9100
     923     170.1884    -169.4144
     924     159.5446    -154.0164
     925     147.0828    -172.8587
     926     159.7409    -174.8312
     927     144.2070    -170.5429
     928     168.3435    -111.2344
     929     172.4162    -164.9678
     930     168.9037    -168.8468
     931     141.9044     172.9982
     932     167.7026    -162.2733
     933     171.4842    -153.3643
     934     159.8772    -172.3973
     935    -175.8608    -152.0124
     936     167.5031    -173.9015
     937     157.7654    -140.3165
     938     169.9774    -153.6849
     939     155.2064    -162.5126
     940     171.2828    -159.0229
     941     162.7859     177.5517
     942     171.4725    -172.3555
     943     157.3220    -175.3893
     944    -171.5290    -159.8063
     945     155.9292    -174.5132
     946     156.1642    -149.4947
     947     156.2332    -173.9958
     948     153.8406     176.2339
     949    -177.8629    -133.3611
     950     142.3914    -169.0477
     951     157.4136    -160.8099
     952     168.5815    -169.1991
     953     157.1128    -171.0650
     954     176.3145    -154.9672
     955     158.8047    -161.9869
     956     173.7890    -160.1175
     957     158.5396    -153.5725
     958     160.2703    -148.2518
     959     166.4540    -166.9203
     960     172.4624    -173.6288
     961     160.6521    -158.7000
     962     156.5717    -149.8756
     963     153.6237    -138.6145
     964     158.9879    -170.7600
     965     159.7821    -154.4615
     966     163.8526    -140.2607
     967     174.8818     -84.3935
     968     158.3950    -161.2981
     969     166.0447    -145.9487
     970     165.0866    -155.6899
     971     169.3828    -176.8180
     972     151.9769    -167.1121
     973     155.3542    -160.0833
     974     166.5333    -172.1835
     975     156.0118     176.2364
     976     156.4960    -179.9256
     977     170.1131    -162.4008
     978     164.0414    -174.5809
     979     152.0128    -159.2511
     980     160.7448    -150.1432
     981     172.1016    -151.4002
     982     159.7964    -179.9941
     983     155.2470    -172.7823
     984     160.5098    -166.0549
     985     162.7671    -163.1705
     986     165.4095    -166.8722
     987     151.1418    -167.9571
     988     175.3368    -153.3613
     989     167.9972    -151.5738
     990     160.4943    -165.2895
     991     155.3702    -175.6946
